customer_ID,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,cluster
CM-12385,31806,CA-2012-145352,16-03-2012,22-03-2012,Standard Class,Christopher Martinez,Consumer,Atlanta,Georgia,United States,US,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95,entre 5 y 6,0.0,3177.475,581.12,Medium,1
AR-10540,37817,CA-2014-138289,17-01-2014,19-01-2014,Second Class,Andy Reiter,Consumer,Jackson,Michigan,United States,US,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,5443.96,entre 3 y 4,0.0,2504.2216,567.95,High,1
LW-16990,38411,US-2013-102239,06-05-2013,07-05-2013,First Class,Lindsay Williams,Corporate,Henderson,Nevada,United States,US,West,FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,1685.88,entre 5 y 6,0.0,320.3172,548.08,Critical,1
BS-11365,35574,US-2013-107440,17-04-2013,21-04-2013,Standard Class,Bill Shonely,Corporate,Lakewood,New Jersey,United States,US,East,TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,entre 7 y 8,0.0,2365.9818,516.91,Medium,1
AB-10105,40336,CA-2013-117121,18-12-2013,22-12-2013,Standard Class,Adrian Barton,Consumer,Detroit,Michigan,United States,US,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,9892.74,entre 13 y 14,0.0,4946.37,498.7,Medium,1
PS-19045,32452,CA-2011-136567,20-12-2011,21-12-2011,First Class,Penelope Sewall,Home Office,Harrisonburg,Virginia,United States,US,South,FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",2244.48,entre 7 y 8,0.0,493.7856,498.14,High,1
TC-21295,40932,CA-2011-151330,14-10-2011,17-10-2011,First Class,Toby Carlisle,Consumer,Everett,Massachusetts,United States,US,East,FUR-CH-10000749,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,1628.82,entre 9 y 10,0.0,260.6112,496.46,Critical,1
DJ-13510,34153,CA-2013-128594,27-08-2013,30-08-2013,First Class,Don Jones,Corporate,San Diego,California,United States,US,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,1603.136,entre 3 y 4,0.2,100.196,489.6,Critical,1
RP-19390,33088,CA-2011-120474,01-12-2011,03-12-2011,First Class,Resi Pölking,Consumer,Madison,Wisconsin,United States,US,Central,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2807.84,entre 7 y 8,0.0,673.8816,487.15,High,1
MJ-17740,40462,CA-2013-100300,25-06-2013,27-06-2013,Second Class,Max Jones,Consumer,San Diego,California,United States,US,West,TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer,4476.8,entre 3 y 4,0.2,503.64,485.47,High,1
KF-16285,34340,CA-2014-149559,12-09-2014,13-09-2014,Same Day,Karen Ferguson,Home Office,Long Beach,California,United States,US,West,FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,2054.272,entre 7 y 8,0.2,256.784,480.56,Critical,1
BW-11110,32274,CA-2014-159366,08-01-2014,11-01-2014,First Class,Bart Watters,Corporate,Detroit,Michigan,United States,US,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,entre 1 y 2,0.1,679.996,471.22,Medium,1
KD-16270,32382,US-2013-143819,02-03-2013,06-03-2013,Standard Class,Karen Daniels,Consumer,Yonkers,New York,United States,US,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,4899.93,entre 7 y 8,0.0,2400.9657,466.33,Medium,1
TB-21280,34667,CA-2013-134887,26-03-2013,26-03-2013,Same Day,Toby Braunhardt,Consumer,Norman,Oklahoma,United States,US,Central,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,1287.45,entre 5 y 6,0.0,244.6155,457.14,Critical,1
CS-12505,39069,CA-2013-108196,26-11-2013,03-12-2013,Standard Class,Cindy Stewart,Consumer,Lancaster,Ohio,United States,US,East,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,4499.985,entre 5 y 6,0.7,-6599.978,451.63,Low,1
JL-15835,35425,CA-2011-127299,19-09-2011,24-09-2011,Standard Class,John Lee,Consumer,Charlotte,North Carolina,United States,US,South,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",2624.985,entre 3 y 4,0.5,-944.9946,443.69,High,1
JE-15610,36859,CA-2014-133263,01-04-2014,03-04-2014,Second Class,Jim Epp,Corporate,Atlanta,Georgia,United States,US,South,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2999.95,entre 5 y 6,0.0,1439.976,439.69,High,1
DP-13390,39115,CA-2013-138478,22-10-2013,27-10-2013,Second Class,Dennis Pardue,Home Office,North Las Vegas,Nevada,United States,US,West,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,4535.976,entre 3 y 4,0.2,1644.2913,431.68,Medium,1
YC-21895,34367,CA-2011-119375,17-11-2011,22-11-2011,Standard Class,Yoseph Carroll,Corporate,Newark,Delaware,United States,US,East,OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,2934.33,entre 7 y 8,0.0,792.2691,428.8,High,1
NP-18670,39721,CA-2014-150091,13-10-2014,17-10-2014,Standard Class,Nora Paige,Consumer,Lakewood,New Jersey,United States,US,East,FUR-BO-10003404,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",2154.9,entre 5 y 6,0.0,129.294,426.05,High,1
RH-19510,33317,CA-2013-168354,20-09-2013,22-09-2013,First Class,Rick Huthwaite,Home Office,Providence,Rhode Island,United States,US,East,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",1606.23,entre 9 y 10,0.0,481.869,418.26,High,1
JG-15160,36446,CA-2011-141796,21-06-2011,21-06-2011,Same Day,James Galang,Consumer,Long Beach,New York,United States,US,East,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1214.85,entre 3 y 4,0.0,352.3065,417.47,Critical,1
CB-12415,33283,CA-2013-147417,26-07-2013,28-07-2013,First Class,Christy Brittain,Consumer,Columbus,Ohio,United States,US,East,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1439.976,entre 3 y 4,0.4,191.9968,408.79,Critical,1
TP-21130,33353,CA-2014-120376,23-12-2014,26-12-2014,First Class,Theone Pippenger,Consumer,Detroit,Michigan,United States,US,Central,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,1586.69,entre 7 y 8,0.0,412.5394,397.52,High,1
LA-16780,36467,CA-2013-122903,28-05-2013,30-05-2013,Second Class,Laura Armstrong,Corporate,Detroit,Michigan,United States,US,Central,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,3504.9,entre 5 y 6,0.0,700.98,383.35,High,1
MW-18235,32291,CA-2011-117639,21-05-2011,25-05-2011,Standard Class,Mitch Willingham,Corporate,Virginia Beach,Virginia,United States,US,South,OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,2715.93,entre 7 y 8,0.0,1276.4871,378.83,High,1
AT-10735,38876,CA-2012-123113,23-11-2012,27-11-2012,Second Class,Annie Thurman,Consumer,Morristown,New Jersey,United States,US,East,OFF-AP-10000275,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",2625.12,entre 7 y 8,0.0,735.0336,366.72,Medium,1
HL-15040,35487,CA-2014-166709,18-11-2014,23-11-2014,Standard Class,Hunter Lopez,Consumer,Newark,Delaware,United States,US,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,10499.97,entre 3 y 4,0.0,5039.9856,363.19,Medium,1
TC-21295,34135,CA-2013-147368,10-06-2013,13-06-2013,First Class,Toby Carlisle,Consumer,Tallahassee,Florida,United States,US,South,TEC-MA-10002178,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,695.7,entre 1 y 2,0.5,-27.828,356.68,Critical,1
NF-18385,34447,CA-2012-147830,15-12-2012,18-12-2012,First Class,Natalie Fritzler,Consumer,Newark,Ohio,United States,US,East,TEC-AC-10002049,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,2025.36,entre 5 y 6,0.2,607.608,355.61,High,1
KW-16435,35390,CA-2012-102491,24-08-2012,28-08-2012,Standard Class,Katrina Willman,Consumer,Florence,Kentucky,United States,US,South,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,3080.0,entre 7 y 8,0.0,1416.8,351.01,High,1
HM-14860,40287,US-2012-128587,24-12-2012,30-12-2012,Standard Class,Harry Marie,Corporate,Springfield,Missouri,United States,US,Central,TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,4899.93,entre 7 y 8,0.0,2302.9671,350.09,Medium,1
TC-20980,38123,CA-2013-118689,03-10-2013,10-10-2013,Standard Class,Tamara Chand,Corporate,Lafayette,Indiana,United States,US,Central,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,17499.95,entre 5 y 6,0.0,8399.976,349.07,Medium,1
KC-16255,36813,US-2013-138408,19-11-2013,22-11-2013,Second Class,Karen Carlisle,Corporate,Huntsville,Alabama,United States,US,South,TEC-AC-10003870,Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,1319.96,entre 3 y 4,0.0,527.984,345.77,Critical,1
BD-11500,39609,US-2014-105935,27-01-2014,01-02-2014,Standard Class,Bradley Drucker,Consumer,Columbus,Georgia,United States,US,South,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,2939.93,entre 7 y 8,0.0,764.3818,343.25,High,1
BM-11140,31462,CA-2011-139892,08-09-2011,12-09-2011,Standard Class,Becky Martin,Consumer,San Antonio,Texas,United States,US,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,entre 7 y 8,0.4,-1359.992,342.11,Medium,1
JM-15865,33789,CA-2011-144624,19-11-2011,23-11-2011,Standard Class,John Murray,Consumer,Jamestown,New York,United States,US,East,TEC-PH-10002885,Technology,Phones,Apple iPhone 5,4548.81,entre 7 y 8,0.0,1228.1787,338.56,High,1
NP-18685,35369,CA-2012-156104,06-12-2012,08-12-2012,Second Class,Nora Pelletier,Home Office,Indianapolis,Indiana,United States,US,Central,TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,999.98,entre 1 y 2,0.0,449.991,334.26,Critical,1
RW-19540,35124,CA-2014-141733,08-05-2014,12-05-2014,Standard Class,Rick Wilson,Corporate,Detroit,Michigan,United States,US,Central,FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,1458.65,entre 5 y 6,0.0,423.0085,315.73,High,1
JE-16165,31446,CA-2013-114489,06-12-2013,10-12-2013,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,United States,US,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,entre 7 y 8,0.0,585.552,312.22,High,1
JK-16090,36827,CA-2014-160885,03-12-2014,07-12-2014,Standard Class,Juliana Krohn,Consumer,Omaha,Nebraska,United States,US,Central,TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 - speaker phone,2479.96,entre 3 y 4,0.0,743.988,312.14,High,1
PJ-19015,32111,CA-2014-143686,15-05-2014,15-05-2014,Same Day,Pauline Johnson,Consumer,Santa Ana,California,United States,US,West,TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,1399.93,entre 7 y 8,0.0,601.9699,309.52,High,1
MC-17425,32751,CA-2013-133711,27-11-2013,30-11-2013,First Class,Mark Cousins,Corporate,Mobile,Alabama,United States,US,South,TEC-MA-10000010,Technology,Machines,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.0,entre 7 y 8,0.0,1459.2,307.85,Medium,1
KH-16690,38880,CA-2011-163223,21-03-2011,25-03-2011,Standard Class,Kristen Hastings,Corporate,Springfield,Virginia,United States,US,South,TEC-PH-10000730,Technology,Phones,Samsung Galaxy S4 Active,3499.93,entre 7 y 8,0.0,909.9818,305.29,Medium,1
OT-18730,39929,CA-2013-107783,29-07-2013,30-07-2013,First Class,Olvera Toch,Consumer,Bethlehem,Pennsylvania,United States,US,East,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1369.764,entre 5 y 6,0.7,-913.176,296.1,High,1
SF-20200,33864,CA-2014-123967,02-11-2014,04-11-2014,Second Class,Sarah Foster,Consumer,Bellingham,Washington,United States,US,West,FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,2665.62,entre 9 y 10,0.0,239.9058,294.17,Medium,1
AM-10705,35505,CA-2011-145387,31-10-2011,02-11-2011,Second Class,Anne McFarland,Consumer,Cranston,Rhode Island,United States,US,East,FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,1604.9,entre 5 y 6,0.0,481.47,289.82,Medium,1
AC-10450,34885,CA-2014-158729,20-12-2014,22-12-2014,First Class,Amy Cox,Consumer,Lafayette,Louisiana,United States,US,South,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,1665.62,entre 1 y 2,0.0,33.3124,287.77,High,1
TS-21370,34352,US-2012-100377,28-08-2012,01-09-2012,Standard Class,Todd Sumrall,Corporate,Chicago,Illinois,United States,US,Central,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,2799.96,entre 5 y 6,0.2,874.9875,286.3,Medium,1
ER-13855,39080,CA-2013-162236,05-11-2013,07-11-2013,Second Class,Elpida Rittenbach,Corporate,Charlotte,North Carolina,United States,US,South,FUR-TA-10002533,Furniture,Tables,BPI Conference Tables,876.3,entre 9 y 10,0.4,-292.1,278.5,Critical,1
AJ-10780,37936,CA-2011-108609,31-10-2011,02-11-2011,Second Class,Anthony Jacobs,Corporate,Lorain,Ohio,United States,US,East,FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,1421.664,entre 7 y 8,0.4,-734.5264,277.66,Critical,1
EM-14140,38769,CA-2013-139997,02-07-2013,04-07-2013,First Class,Eugene Moren,Home Office,Lehi,Utah,United States,US,West,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,1499.95,entre 5 y 6,0.0,449.985,276.23,Medium,1
FC-14245,40187,CA-2013-147256,18-10-2013,22-10-2013,Second Class,Frank Carlisle,Home Office,Columbia,Missouri,United States,US,Central,OFF-AP-10003057,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,1927.59,entre 7 y 8,0.0,751.7601,274.82,High,1
CM-12235,33869,CA-2013-155845,13-08-2013,16-08-2013,Second Class,Chris McAfee,Consumer,Carrollton,Texas,United States,US,Central,TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,1399.944,entre 7 y 8,0.2,52.4979,273.79,High,1
JS-15880,38490,CA-2013-110492,12-02-2013,14-02-2013,First Class,John Stevenson,Consumer,Atlanta,Georgia,United States,US,South,OFF-ST-10003716,Office Supplies,Storage,Tennsco Double-Tier Lockers,1350.12,entre 5 y 6,0.0,175.5156,273.44,Critical,1
AC-10450,33193,CA-2014-141789,04-10-2014,07-10-2014,First Class,Amy Cox,Consumer,Minneapolis,Minnesota,United States,US,Central,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1793.98,entre 1 y 2,0.0,843.1706,271.12,Medium,1
CP-12085,37917,US-2014-167402,14-01-2014,19-01-2014,Second Class,Cathy Prescott,Corporate,Springfield,Missouri,United States,US,Central,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4164.05,entre 5 y 6,0.0,83.281,262.42,Medium,1
RH-19510,33320,CA-2013-168354,20-09-2013,22-09-2013,First Class,Rick Huthwaite,Home Office,Providence,Rhode Island,United States,US,East,FUR-CH-10004675,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",872.32,entre 3 y 4,0.0,244.2496,260.38,High,1
ME-17320,38771,CA-2011-167199,07-01-2011,11-01-2011,Standard Class,Maria Etezadi,Home Office,Henderson,Kentucky,United States,US,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,entre 9 y 10,0.0,746.4078,258.99,High,1
PF-19165,39528,CA-2013-162355,01-07-2013,03-07-2013,Second Class,Philip Fox,Consumer,Sandy Springs,Georgia,United States,US,South,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,1266.86,entre 7 y 8,0.0,291.3778,254.77,Critical,1
CL-12565,32927,CA-2013-106530,09-05-2013,09-05-2013,Same Day,Clay Ludtke,Consumer,Cleveland,Ohio,United States,US,East,OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,1006.056,entre 3 y 4,0.2,88.0299,254.13,Critical,1
DR-12940,38963,US-2013-140158,05-10-2013,09-10-2013,Standard Class,Daniel Raglin,Home Office,Providence,Rhode Island,United States,US,East,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,5399.91,entre 9 y 10,0.0,2591.9568,254.03,Medium,1
AA-10315,36495,CA-2013-103982,04-03-2013,09-03-2013,Standard Class,Alex Avila,Consumer,Round Rock,Texas,United States,US,Central,OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,3930.072,entre 3 y 4,0.2,-786.0144,253.2,Medium,1
HG-15025,37053,CA-2011-163748,14-10-2011,18-10-2011,Standard Class,Hunter Glantz,Consumer,Fort Worth,Texas,United States,US,Central,TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,1999.96,entre 5 y 6,0.2,624.9875,252.11,High,1
HW-14935,41245,CA-2014-121559,02-06-2014,04-06-2014,Second Class,Helen Wasserman,Corporate,Indianapolis,Indiana,United States,US,Central,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,2405.2,entre 7 y 8,0.0,793.716,252.0,High,1
PM-19135,38784,US-2012-134558,19-12-2012,24-12-2012,Second Class,Peter McVee,Home Office,Dover,New Hampshire,United States,US,East,TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,2249.91,entre 9 y 10,0.0,517.4793,248.96,High,1
CJ-12010,39533,CA-2014-102204,02-05-2014,07-05-2014,Standard Class,Caroline Jumper,Consumer,Jacksonville,Florida,United States,US,South,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2803.92,entre 5 y 6,0.2,0.0,246.07,Medium,1
AR-10825,38381,CA-2014-118724,22-07-2014,26-07-2014,Second Class,Anthony Rawles,Corporate,Concord,California,United States,US,West,TEC-PH-10002549,Technology,Phones,Polycom SoundPoint IP 450 VoIP phone,1626.192,entre 9 y 10,0.2,121.9644,245.6,High,1
DM-13345,34145,CA-2014-157854,09-04-2014,16-04-2014,Standard Class,Denise Monton,Corporate,Roswell,Georgia,United States,US,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,2690.97,entre 3 y 4,0.0,1264.7559,244.88,Low,1
CK-12325,40644,CA-2014-109085,18-02-2014,21-02-2014,First Class,Christine Kargatis,Home Office,Troy,Ohio,United States,US,East,FUR-CH-10003981,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,899.43,entre 5 y 6,0.3,-12.849,243.89,High,1
CR-12580,39294,US-2014-105998,04-11-2014,06-11-2014,First Class,Clay Rozendal,Home Office,San Diego,California,United States,US,West,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,1673.184,entre 11 y 12,0.2,20.9148,242.63,Medium,1
AC-10450,36068,US-2011-167262,31-10-2011,03-11-2011,Second Class,Amy Cox,Consumer,Avondale,Arizona,United States,US,West,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,742.336,entre 7 y 8,0.2,83.5128,241.86,Critical,1
DM-12955,38694,CA-2011-141649,30-09-2011,30-09-2011,Same Day,Dario Medina,Corporate,Fairfield,Ohio,United States,US,East,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,795.408,entre 5 y 6,0.2,59.6556,241.68,High,1
KM-16720,41024,CA-2014-167395,03-12-2014,05-12-2014,First Class,Kunst Miller,Consumer,Lowell,Massachusetts,United States,US,East,TEC-PH-10004977,Technology,Phones,GE 30524EE4,979.95,entre 5 y 6,0.0,284.1855,240.88,Critical,1
TB-21175,36177,CA-2014-143567,03-11-2014,06-11-2014,Second Class,Thomas Boland,Corporate,Henderson,Kentucky,United States,US,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",975.92,entre 3 y 4,0.0,292.776,238.51,Critical,1
CC-12610,34781,CA-2011-124688,27-08-2011,29-08-2011,First Class,Corey Catlett,Corporate,Springfield,Virginia,United States,US,South,FUR-TA-10003569,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,1202.94,entre 3 y 4,0.0,300.735,237.41,Critical,1
MH-18025,40518,CA-2014-103212,14-10-2014,15-10-2014,First Class,Michelle Huthwaite,Consumer,Lafayette,Louisiana,United States,US,South,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,1504.52,entre 3 y 4,0.0,346.0396,236.63,Medium,1
RA-19915,32103,CA-2011-134313,01-11-2011,07-11-2011,Standard Class,Russell Applegate,Consumer,Denver,Colorado,United States,US,West,TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 - speaker phone,1983.968,entre 3 y 4,0.2,247.996,235.13,Medium,1
KM-16375,38976,CA-2011-133592,31-12-2011,07-01-2012,Standard Class,Katherine Murray,Home Office,Providence,Rhode Island,United States,US,East,TEC-AC-10002049,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,1687.8,entre 3 y 4,0.0,742.632,234.73,Low,1
BM-11650,34480,CA-2014-152912,10-11-2014,13-11-2014,Second Class,Brian Moss,Corporate,Columbia,Maryland,United States,US,East,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,1633.14,entre 9 y 10,0.0,473.6106,232.86,Critical,1
DB-13060,32477,CA-2011-128146,21-06-2011,25-06-2011,Standard Class,Dave Brooks,Consumer,Lakewood,New Jersey,United States,US,East,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,1322.93,entre 7 y 8,0.0,357.1911,229.09,High,1
AS-10285,39765,US-2013-164196,12-11-2013,18-11-2013,Standard Class,Alejandro Savely,Corporate,Noblesville,Indiana,United States,US,Central,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,2678.94,entre 5 y 6,0.0,241.1046,228.95,Medium,1
SU-20665,36865,CA-2014-157966,14-03-2014,14-03-2014,Same Day,Stephanie Ulpright,Home Office,Chicago,Illinois,United States,US,Central,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,959.984,entre 1 y 2,0.2,335.9944,227.5,Critical,1
WB-21850,38354,CA-2013-165330,12-12-2013,12-12-2013,Same Day,William Brown,Consumer,Anaheim,California,United States,US,West,FUR-TA-10004619,Furniture,Tables,Hon Non-Folding Utility Tables,892.136,entre 7 y 8,0.2,111.517,226.26,Critical,1
